timestamp,message
1739469974299,"Downloading file: 1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50.exe (2) from bucket: testing-malware-scan-bucket
"
1739469974460,"File hash (SHA256): 1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50
"
1739469974460,"Checking hash 1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50 against VirusTotal...
"
1739469974649,"Error checking VirusTotal: 429
"
1739469974649,"Processing file: 220c50ccf6a9d9727e9f442df42469f027d9f7a2ea833319971746280023bb0c.exe
"
1739469974649,"Downloading file: 220c50ccf6a9d9727e9f442df42469f027d9f7a2ea833319971746280023bb0c.exe from bucket: testing-malware-scan-bucket
"
1739469974778,"File hash (SHA256): 220c50ccf6a9d9727e9f442df42469f027d9f7a2ea833319971746280023bb0c
"
1739469974778,"Checking hash 220c50ccf6a9d9727e9f442df42469f027d9f7a2ea833319971746280023bb0c against VirusTotal...
"
1739469975033,"Error checking VirusTotal: 429
"
1739469975033,"Processing file: 83ad319279941b4fb21ba7ba1a0558e0770ddc21521665757810ecb0222b8f5a.exe
"
1739469975033,"Downloading file: 83ad319279941b4fb21ba7ba1a0558e0770ddc21521665757810ecb0222b8f5a.exe from bucket: testing-malware-scan-bucket
"
1739469975158,"File hash (SHA256): 83ad319279941b4fb21ba7ba1a0558e0770ddc21521665757810ecb0222b8f5a
"
1739469975158,"Checking hash 83ad319279941b4fb21ba7ba1a0558e0770ddc21521665757810ecb0222b8f5a against VirusTotal...
"
1739469975340,"Error checking VirusTotal: 429
"
1739469975341,"Processing file: 850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b.exe
"
1739469975341,"Downloading file: 850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b.exe from bucket: testing-malware-scan-bucket
"
1739469975498,"File hash (SHA256): 850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b
"
1739469975498,"Checking hash 850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b against VirusTotal...
"
1739469975625,"Error checking VirusTotal: 429
"
1739469975625,"Processing file: 8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba.exe
"
1739469975625,"Downloading file: 8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba.exe from bucket: testing-malware-scan-bucket
"
1739469975758,"File hash (SHA256): 8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba
"
1739469975758,"Checking hash 8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba against VirusTotal...
"
1739469975921,"Error checking VirusTotal: 429
"
1739469975921,"Processing file: b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe.exe
"
1739469975921,"Downloading file: b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe.exe from bucket: testing-malware-scan-bucket
"
1739469976077,"File hash (SHA256): b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe
"
1739469976077,"Checking hash b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe against VirusTotal...
"
1739469976260,"Error checking VirusTotal: 429
"
1739469976260,"Processing file: d98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9.exe
"
1739469976260,"Downloading file: d98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9.exe from bucket: testing-malware-scan-bucket
"
1739469976398,"File hash (SHA256): d98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9
"
1739469976398,"Checking hash d98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9 against VirusTotal...
"
1739469976459,"2025-02-13T18:06:16.459Z cb2e82c4-031a-439f-adde-4f9bc9f57e3d Task timed out after 3.02 seconds

"
1739469976459,"END RequestId: cb2e82c4-031a-439f-adde-4f9bc9f57e3d
"
1739469976459,"REPORT RequestId: cb2e82c4-031a-439f-adde-4f9bc9f57e3d	Duration: 3024.59 ms	Billed Duration: 3000 ms	Memory Size: 128 MB	Max Memory Used: 47 MB	
"
1739469976493,"INIT_START Runtime Version: python:3.9.v64	Runtime Version ARN: arn:aws:lambda:us-east-2::runtime:57e9dce4a928fd5b7bc1015238a5bc8a9146f096d69571fa4219ed8a2e76bfdf
"
1739469976973,"Running test Lambda function...
"
1739469976973,"Starting malware scan on bucket: testing-malware-scan-bucket
"
1739469976973,"Processing all files in bucket: testing-malware-scan-bucket
"
1739469976973,"Listing files in bucket: testing-malware-scan-bucket
"
1739469977024,"Files in bucket: ['120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b.exe', '1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50.exe', '1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50.exe (2)', '220c50ccf6a9d9727e9f442df42469f027d9f7a2ea833319971746280023bb0c.exe', '83ad319279941b4fb21ba7ba1a0558e0770ddc21521665757810ecb0222b8f5a.exe', '850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b.exe', '8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba.exe', 'b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe.exe', 'd98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9.exe', 'df90e36ead46dcff6b6235a71ef05f6ca52250f432ddb46a4a0b8b9142660ba3.exe', 'e2b03931b8adf597caceb14e8b3016586fc91e296d34b2395ed2da140a9b6343.exe', 'e58b80e4738dc03f5aa82d3a40a6d2ace0d7c7cfd651f1dd10df76d43d8c0eb3.exe']
"
1739469977024,"Processing file: 120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b.exe
"
1739469977024,"Downloading file: 120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b.exe from bucket: testing-malware-scan-bucket
"
1739469977092,"File hash (SHA256): 120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b
"
1739469977092,"Checking hash 120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b against VirusTotal...
"
